activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
8683360176,Afternoon Workout,2023-03-08,Functional-Cardio Workout,0,107.15,448,0,,NaN,,NaN,0,0,29,106.7,158,17.84166667,6,1,50,40,1,10,15,10,35,1,1,164,High Effort,4
8677673116,Afternoon Workout,2023-03-07,Functional-Cardio Workout,0,48.5,435,0,,NaN,,NaN,0,0,31,127.2,158,8.076666667,6,1,40,40,1,10,15,5,35,1,1,149,Medium Effort,3
8672944578,Evening Walk,2023-03-07,Walk,6.29,112.32,425,43,30.38993197,-97.73823512,30.38900217,-97.73581367,3.9708,7.0092,27,82.1,98,28.045,4,5,50,40,5,5,10,15,20,5,10,165,High Effort,4
8672611987,Afternoon Ride,2023-03-06,Ride,0,47.92,133,0,,NaN,,NaN,0,0,30,80.8,91,47.9,1,1,40,15,1,5,10,20,5,5,5,107,Low Effort,2
8655132144,Afternoon Workout,2023-03-03,Functional-Cardio Workout,0,37.58,400,0,,NaN,,NaN,0,0,28,140.6,173,6.255,6,1,30,40,1,15,25,5,35,1,1,154,High Effort,4
8650266138,Afternoon Workout,2023-03-02,Functional-Cardio Workout,0,57.88,561,0,,NaN,,NaN,0,0,29,146.1,181,57.88,1,1,45,50,1,20,30,20,5,1,1,174,High Effort,4
8644587607,Afternoon Workout,2023-03-01,Functional-Cardio Workout,0,36.9,367,0,,NaN,,NaN,0,0,30,148.2,177,7.372,5,1,30,35,1,20,30,5,25,1,1,149,Medium Effort,3
8639260773,Afternoon Mountain Bike Ride,2023-02-28,MountainBikeRide,12.71,53.33,457,169,30.40155013,-97.68595375,30.4013778,-97.68642079,15.4908,34.8984,28,128.1,157,26.65,2,20,0,40,10,10,15,15,5,20,25,160,High Effort,4
8633145882,Afternoon Run,2023-02-27,Run,6.09,39.5,477,59,30.38898055,-97.73563296,30.38893059,-97.7360497,10.0872,18.6768,28,156,169,5.635714286,7,10,30,40,5,30,25,5,35,30,20,230,High Effort,4
8611884034,Afternoon Workout,2023-02-23,Functional-Cardio Workout,0,6.43,0,0,,NaN,,NaN,0,0,31,77.3,84,0.08012658228,79,1,1,5,1,5,10,1,35,1,1,61,No Effort,1
8606708676,Afternoon Workout,2023-02-22,Functional-Cardio Workout,0,35.42,335,0,,NaN,,NaN,0,0,31,135.2,167,7.072,5,1,30,35,1,15,25,5,25,1,1,139,Medium Effort,3
