,activity_id,sport_type,distance,workout_time_min,calories,total_elevation_gain,average_speed_km/h,max_speed_km/h,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score
82,8345023058,Functional-Cardio Workout,0.0,35.13,374.0,0.0,0.0,0.0,138.1,167.0,35.12,1,1,30,35,1,15,25,20,5,1,1
83,8339517521,Functional-Cardio Workout,0.0,52.87,580.0,0.0,0.0,0.0,144.4,177.0,13.21,4,1,0,50,1,15,30,10,20,1,1
84,8334285682,Run,4.62,30.37,352.0,7.0,9.3528,16.632,148.3,179.0,6.058,5,5,25,35,5,20,30,5,25,25,20
85,8329288562,Functional-Cardio Workout,0.0,45.37,508.0,0.0,0.0,0.0,144.1,178.0,11.3325,4,1,40,50,1,15,30,10,20,1,1
86,8323038910,Functional-Cardio Workout,0.0,53.9,494.0,0.0,0.0,0.0,135.8,163.0,10.778,5,1,0,40,1,15,15,10,25,1,1
87,8318058695,Functional-Cardio Workout,0.0,27.27,338.0,0.0,0.0,0.0,150.5,178.0,6.805,4,1,20,35,1,20,30,5,20,1,1
88,8314003228,Functional-Cardio Workout,0.0,27.55,326.0,0.0,0.0,0.0,144.9,174.0,5.5,5,1,20,35,1,15,25,5,25,1,1
89,8304820435,Functional-Cardio Workout,0.0,40.07,424.0,0.0,0.0,0.0,139.0,180.0,10.0125,4,1,35,40,1,15,30,10,20,1,1
90,8300432096,Functional-Cardio Workout,0.0,36.52,336.0,0.0,0.0,0.0,134.8,165.0,12.16666667,3,1,30,35,1,15,25,10,10,1,1
91,8290365391,Functional-Cardio Workout,0.0,36.1,183.0,0.0,0.0,0.0,111.2,141.0,36.1,1,1,30,15,1,10,15,20,5,1,1
92,8287265002,Functional-Cardio Workout,0.0,52.47,551.0,0.0,0.0,0.0,139.1,166.0,10.482,5,1,0,50,1,15,25,10,25,1,1
93,8283247244,Functional-Cardio Workout,0.0,31.88,346.0,0.0,0.0,0.0,140.9,165.0,7.9675,4,1,25,35,1,15,25,5,20,1,1
94,8280431309,Functional-Cardio Workout,0.0,30.5,283.0,0.0,0.0,0.0,128.1,159.0,7.615,4,1,25,25,1,10,15,5,20,1,1
95,8276678772,Functional-Cardio Workout,0.0,30.93,360.0,0.0,0.0,0.0,143.1,165.0,7.725,4,1,25,35,1,15,25,5,20,1,1
96,8272535392,Functional-Cardio Workout,0.0,40.47,467.0,0.0,0.0,0.0,147.7,177.0,20.225,2,1,35,40,1,20,30,15,5,1,1
97,8272535301,Functional-Cardio Workout,0.0,51.85,599.0,0.0,0.0,0.0,149.5,182.0,10.364,5,1,0,50,1,20,30,10,25,1,1
98,8264840790,Functional-Cardio Workout,0.0,37.15,367.0,0.0,0.0,0.0,134.1,172.0,9.285,4,1,30,35,1,15,25,5,20,1,1
