,activity_id,sport_type,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score
62,8461910392,Functional-Cardio Workout,1,25,25,1,15,25,10,5,1,1,109
63,8457098599,Functional-Cardio Workout,1,30,35,1,15,30,5,35,1,1,154
64,8452224343,Ride,1,25,25,1,10,15,20,5,5,5,112
65,8446679630,Functional-Cardio Workout,1,40,40,1,15,25,5,35,1,1,164
66,8439721111,Yoga,1,30,15,1,5,10,20,5,1,1,89
67,8429193772,Run,30,50,100,5,30,30,5,35,25,15,325
68,8424857940,Functional-Cardio Workout,1,25,25,1,10,15,10,5,1,1,94
69,8419959787,Functional-Cardio Workout,1,50,60,1,15,25,10,35,1,1,199
70,8415022100,TrailRun,5,30,40,5,20,15,5,20,15,15,170
71,8409055741,Functional-Cardio Workout,1,50,80,1,20,30,10,25,1,1,219
72,8403997888,Functional-Cardio Workout,1,50,50,1,15,30,10,35,1,1,194
73,8398211855,Run,10,45,70,5,30,30,5,35,25,0,255
74,8397964746,Functional-Cardio Workout,1,5,15,1,20,25,10,5,1,1,84
75,8387758742,Functional-Cardio Workout,1,25,25,1,10,15,5,20,1,1,104
76,8382922540,Run,25,50,90,10,20,30,5,35,15,0,280
77,8377330507,MountainBikeRide,20,50,50,10,10,15,20,5,15,30,225
78,8371717528,Functional-Cardio Workout,1,20,25,1,15,15,5,10,1,1,94
79,8366744076,Functional-Cardio Workout,1,25,35,1,15,25,5,35,1,1,144
80,8361203713,Functional-Cardio Workout,1,25,35,1,15,25,10,5,1,1,119
81,8349952043,Functional-Cardio Workout,1,40,35,1,10,30,10,10,1,1,139
82,8345023058,Functional-Cardio Workout,1,30,35,1,15,25,20,5,1,1,134
83,8339517521,Functional-Cardio Workout,1,0,50,1,15,30,10,20,1,1,129
84,8334285682,Run,5,25,35,5,20,30,5,25,25,20,195
85,8329288562,Functional-Cardio Workout,1,40,50,1,15,30,10,20,1,1,169
86,8323038910,Functional-Cardio Workout,1,0,40,1,15,15,10,25,1,1,109
87,8318058695,Functional-Cardio Workout,1,20,35,1,20,30,5,20,1,1,134
88,8314003228,Functional-Cardio Workout,1,20,35,1,15,25,5,25,1,1,129
89,8304820435,Functional-Cardio Workout,1,35,40,1,15,30,10,20,1,1,154
90,8300432096,Functional-Cardio Workout,1,30,35,1,15,25,10,10,1,1,129
91,8290365391,Functional-Cardio Workout,1,30,15,1,10,15,20,5,1,1,99
92,8287265002,Functional-Cardio Workout,1,0,50,1,15,25,10,25,1,1,129
93,8283247244,Functional-Cardio Workout,1,25,35,1,15,25,5,20,1,1,129
94,8280431309,Functional-Cardio Workout,1,25,25,1,10,15,5,20,1,1,104
95,8276678772,Functional-Cardio Workout,1,25,35,1,15,25,5,20,1,1,129
96,8272535392,Functional-Cardio Workout,1,35,40,1,20,30,15,5,1,1,149
97,8272535301,Functional-Cardio Workout,1,0,50,1,20,30,10,25,1,1,139
98,8264840790,Functional-Cardio Workout,1,30,35,1,15,25,5,20,1,1,134
99,8264742904,TrailRun,10,50,60,10,20,25,10,35,15,20,255
100,8256810166,Functional-Cardio Workout,1,20,35,1,20,25,15,5,1,1,124
101,8253528404,Functional-Cardio Workout,1,0,40,1,10,25,10,20,1,1,109
102,8245669298,Functional-Cardio Workout,1,40,50,1,20,30,10,20,1,1,174
103,8241317810,Run,10,0,50,5,20,25,5,35,25,15,190
104,8229088227,Functional-Cardio Workout,1,35,35,1,15,25,5,25,1,1,144
105,8225784809,Functional-Cardio Workout,1,35,40,1,15,25,10,20,1,1,149
106,8221018861,Functional-Cardio Workout,1,15,25,1,15,25,15,5,1,1,104
107,8217650720,Run,5,1,5,5,30,25,1,5,30,15,122
108,8217650717,Run,10,50,80,5,30,30,10,35,25,0,275
109,8212453296,Functional-Cardio Workout,1,35,40,1,15,25,10,20,1,1,149
110,8208589520,Functional-Cardio Workout,1,50,40,1,15,25,10,25,1,1,169
111,8203727142,Functional-Cardio Workout,1,20,35,1,15,30,15,5,1,1,124
112,8203727133,Functional-Cardio Workout,1,20,25,1,15,25,15,5,1,1,109
113,8203727114,Run,5,1,5,5,20,15,1,5,30,20,107
